username,reponame,latest_ver,extension,pkgs_name,pkg_pattern,version_pattern_match
subhra74,xdm,7.2.11,msi,subhra74.XtremeDownloadManager,xdm-setup.msi,""
ad3rito,AfterLife,1.0.0,exe,AderitoNeto.AfterLife,AfterLife.Installer.exe,""
SandwichFox,MBCord,3.0.7,exe,SandwichFox.mbcord,mbcord-Setup-3.0.7.exe,PatternMatchOnlyNum
DrewNaylor,UXL-Launcher,4.0.0.0,exe,DrewNaylor.UXL-Launcher,UXL-Launcher_v4.0-Stable.exe,""
tangshimin,MuJing,2.2.16,msi,tangshimin.MuJing,MuJing-2.2.16.msi,PatternMatchOnlyNum
pulsar-edit,pulsar,1.113.0,exe,Pulsar-Edit.Pulsar,Windows.Pulsar.Setup.1.113.0.exe,PatternMatchOnlyNum
librevault,librevault,0.1.17,exe,LibrevaultTeam.Librevault,librevault_v0.1.17.exe,PatternMatchOnlyNum
sdercolin,vlabeler,1.0.0-beta16,zip,sdercolin.vlabeler,vlabeler-1.0.0-beta16-win64.zip,PatternMatchExact
buckets,application,0.72.2,exe,OnePartRain.Buckets,Buckets-Setup-0.72.2.exe,PatternMatchOnlyNum
Xanthus58,Affirmation-Requester,2.2,exe,Xanthus58.AfformationRequester,AfformationRequester.exe,""
neroist,Nova,1.6.1,exe,Jasmine.Nova,Nova-Installer.exe,""
rcmaehl,MSEdgeRedirect,0.7.5.3,exe,rcmaehl.MSEdgeRedirect,MSEdgeRedirect.exe,""
oleg-shilo,win-sudo,1.0.1,zip,oleg-shilo.win-sudo,sudo.v1.0.1.zip,PatternMatchOnlyNum
succlz123,AcFun-Client-Multiplatform,1.0.4,msi,succlz123.AcFun,AcFun-Windows-1.0.4.msi,PatternMatchOnlyNum
wandersick,chmac,2.0,exe,wandersick.ChMac,ChMac-2.0.0.5_Silent_Installer.exe,PatternMatchOnlyNum
poetries,yuqing-monitor-electron,0.0.1,exe,poetries.yuqing-monitor-electron,windows.yuqing.monitor.Setup.0.0.1.exe,PatternMatchOnlyNum
irzyxa,Volume2,1.1.7.449,zip,irzyxa.Volume2Portable,Volume2_1_1_7_449.zip,""
slonopotamus,stevedore,1.2.0,msi,Slonopotamus.Stevedore,stevedore-1.2.0-x86_64.msi,PatternMatchOnlyNum
GPUOpen-Tools,ocat,1.6.2,exe,AMD.OCAT,OCAT_v1.6.2.exe,PatternMatchOnlyNum
PatentLobster,stinker,0.2.3,exe,PatentLobster.stinker,Stinker-Setup-0.2.3.exe,PatternMatchOnlyNum
charmbracelet,glow,v1.5.1,zip,charmbracelet.glow,glow_Windows_x86_64.zip,""
vividos,winLAME,2.21.1.108,msi,vividos.winLAME,winLAME-Setup-2.21.1.108.msi,PatternMatchOnlyNum
oliverschwendener,ueli,8.28.0,exe,OliverSchwendener.ueli,ueli-Setup-8.28.0.exe,PatternMatchOnlyNum
arrow2nd,tokumei-player-plus,1.3.2,exe,arrow2nd.tokumei-player-plus,tokumei-player-plus-1.3.2.exe,PatternMatchOnlyNum
Studio3T,robomongo,1.4.4,exe,3TSoftwareLabs.Robo3T,robo3t-1.4.4-windows-x86_64-e6ac9ec5.exe,PatternMatchOnlyNum
Twistedst,scale-serial-reader,1.0.2,exe,Twistedst.scale-serial-reader,Weigh-Station-Setup-1.0.2.exe,PatternMatchOnlyNum
maplemedia,pulse-sms-desktop,4.5.2,exe,MapleMedia.PulseSMS,pulse-sms-4.5.2.exe,PatternMatchOnlyNum
bazarr,bazarr.github.io,1.4.2,zip,Morpheus.Bazarr,bazarr.zip,""
Bible-Projects,believers-sword-app,0.8.5,exe,JenuelOrasGanawed.BelieversSword,Believers-Sword-Setup-0.8.5.exe,PatternMatchOnlyNum
IrosTheBeggar,mStream,5.11.4,exe,PaulSori.mStreamServer,mStream-Server-Setup-5.11.4.exe,PatternMatchOnlyNum
Chia-Network,chia-blockchain,2.1.4,exe,ChiaNetwork.GUIforChiaBlockchain,ChiaSetup-2.1.4.exe,PatternMatchOnlyNum
ducaale,xh,v0.20.1,zip,ducaale.xh,xh-v0.20.1-x86_64-pc-windows-msvc.zip,PatternMatchStartWithv
hdfsyu,ASCIIEngine,1.0.0,msi,ANTOrg-Inc.ASCIIEngine,ASCIIEngine.msi,""
TeamShinkansen,Hakchi2-CE,3.9.3,exe,TeamShinkansen.Hakchi2-CE,hakchi2-ce-3.9.3-installer.exe,PatternMatchOnlyNum
jayakumarreddy,Local-Mock-Server,1.2.0,exe,jayakumarreddy.Local-Mock-Server,Local-Mock-Server-Setup-1.2.0.exe,PatternMatchOnlyNum
seonglae,screencast,1.0.3,exe,Seonglae.Screencast,Screencast.exe,""
SKAARHOJ,keybridge-releases,0.1.0,exe,Skaarhoj.KeyBridge,KeyBridge.exe,""
PurpleI2P,i2pd,2.50.2,exe,PurpleI2P.i2pd,setup_i2pd_v2.50.2.exe,PatternMatchOnlyNum
