username,reponame,latest_ver,extension,pkgs_name,pkg_pattern,version_pattern_match,update_requires,github_latest_vers
SandwichFox,MBCord,3.0.7,exe,SandwichFox.mbcord,mbcord-Setup-3.0.7.exe,PatternMatchOnlyNum,No,3.0.7
tangshimin,MuJing,2.2.16,msi,tangshimin.MuJing,MuJing-2.2.16.msi,PatternMatchOnlyNum,No,v2.2.16
pulsar-edit,pulsar,1.113.0,exe,Pulsar-Edit.Pulsar,Windows.Pulsar.Setup.1.113.0.exe,PatternMatchOnlyNum,No,v1.114.0
librevault,librevault,0.1.17,exe,LibrevaultTeam.Librevault,librevault_v0.1.17.exe,PatternMatchOnlyNum,No,v0.1.17
buckets,application,0.72.2,exe,OnePartRain.Buckets,Buckets-Setup-0.72.2.exe,PatternMatchOnlyNum,No,v0.72.2
oleg-shilo,win-sudo,1.0.1,zip,oleg-shilo.win-sudo,sudo.v1.0.1.zip,PatternMatchOnlyNum,No,v1.0.1
succlz123,AcFun-Client-Multiplatform,1.0.4,msi,succlz123.AcFun,AcFun-Windows-1.0.4.msi,PatternMatchOnlyNum,No,v1.0.5
wandersick,chmac,2.0,exe,wandersick.ChMac,ChMac-2.0.0.5_Silent_Installer.exe,PatternMatchOnlyNum,No,v2.0
poetries,yuqing-monitor-electron,0.0.1,exe,poetries.yuqing-monitor-electron,windows.yuqing.monitor.Setup.0.0.1.exe,PatternMatchOnlyNum,No,v0.0.1
slonopotamus,stevedore,1.2.0,msi,Slonopotamus.Stevedore,stevedore-1.2.0-x86_64.msi,PatternMatchOnlyNum,No,1.2.0
GPUOpen-Tools,ocat,1.6.2,exe,AMD.OCAT,OCAT_v1.6.2.exe,PatternMatchOnlyNum,No,v1.6.3
PatentLobster,stinker,0.2.3,exe,PatentLobster.stinker,Stinker-Setup-0.2.3.exe,PatternMatchOnlyNum,No,v0.3.2
vividos,winLAME,2.21.1.108,msi,vividos.winLAME,winLAME-Setup-2.21.1.108.msi,PatternMatchOnlyNum,No,winlame-2023-release-1
oliverschwendener,ueli,8.28.0,exe,OliverSchwendener.ueli,ueli-Setup-8.28.0.exe,PatternMatchOnlyNum,Yes,v8.28.0
arrow2nd,tokumei-player-plus,1.3.2,exe,arrow2nd.tokumei-player-plus,tokumei-player-plus-1.3.2.exe,PatternMatchOnlyNum,No,v1.3.2
Studio3T,robomongo,1.4.4,exe,3TSoftwareLabs.Robo3T,robo3t-1.4.4-windows-x86_64-e6ac9ec5.exe,PatternMatchOnlyNum,No,v1.4.4
Twistedst,scale-serial-reader,1.0.2,exe,Twistedst.scale-serial-reader,Weigh-Station-Setup-1.0.2.exe,PatternMatchOnlyNum,No,v1.0.2
maplemedia,pulse-sms-desktop,4.5.2,exe,MapleMedia.PulseSMS,pulse-sms-4.5.2.exe,PatternMatchOnlyNum,No,v4.5.3
Bible-Projects,believers-sword-app,0.8.5,exe,JenuelOrasGanawed.BelieversSword,Believers-Sword-Setup-0.8.5.exe,PatternMatchOnlyNum,No,v1.3.4
IrosTheBeggar,mStream,5.11.4,exe,PaulSori.mStreamServer,mStream-Server-Setup-5.11.4.exe,PatternMatchOnlyNum,No,v5.11.4
Chia-Network,chia-blockchain,2.1.4,exe,ChiaNetwork.GUIforChiaBlockchain,ChiaSetup-2.1.4.exe,PatternMatchOnlyNum,No,2.1.4
