username,reponame,latest_ver,extension,pkgs_name,pkg_pattern,version_pattern_match,update_requires,github_latest_vers,github_earliest_vers,IsEarliestVerReleases
sn4k3,UVtools,4.2.3,msi,PTRTECH.UVtools,UVtools_win-x64_v4.2.3.msi,PatternMatchOnlyNum,Yes,v4.2.4,v4.2.4,absent
fission,fission,1.19.0,exe,Fission.Fission.CLI,fission-v1.19.0-windows-amd64.exe,PatternMatchOnlyNum,Yes,v1.20.1,v1.20.1,absent
Nitrokey,nitrokey-app2,2.1.4,msi,NitrokeyGmbH.Nitrokey-App,nitrokey-app-v2.1.4-x64-windows-installer.msi,PatternMatchOnlyNum,Yes,v2.2.1,v2.2.1,absent
Timthreetwelve,WUView,0.5.24.0,exe,Timthreetwelve.WUView,WindowsUpdateViewer_0.5.24.0_Setup.exe,PatternMatchOnlyNum,Yes,v0.5.26,v0.5.26,absent
Taiko2k,TauonMusicBox,7.7.0,exe,Taiko2k.TauonMusicBox,TauonMusicBox.v7.7.0-1.x64.exe,PatternMatchOnlyNum,Yes,v7.7.1,v7.7.1,absent
skyjake,lagrange,1.17.5,exe,skyjake.Lagrange,lagrange_v1.17.5_windows-x64_setup.exe,PatternMatchOnlyNum,Yes,v1.17.6,v1.17.6,absent
mscststs,LANService,1.0.5,exe,mscststs.LANService,LANService.Setup.1.0.5.exe,PatternMatchOnlyNum,Yes,v0.0.5,v0.0.5,absent
RandomEngy,VidCoder,9.13,exe,RandomEngy.VidCoder.Beta,VidCoder-9.13-Beta.exe,PatternMatchOnlyNum,Yes,v9.20,v9.20,absent
NuclearDevelopers,Dichromate,110.0.5481.178,exe,Dichromate.Browser,dichromate-110.0.5481.178.exe,PatternMatchOnlyNum,Yes,111.0.5563.65,111.0.5563.65,absent
purocean,yn,3.65.0,exe,purocean.YankNote,Yank-Note-win-x64-3.65.0.exe,PatternMatchOnlyNum,Yes,v3.66.1,v3.67.1,present
skypjack,qsapecng,2.0.0,exe,skypjack.qsapecng,QSapecNG-2.0.0-win32.exe,PatternMatchOnlyNum,Yes,v2.1.1,v2.1.1,absent
GPUOpen-Tools,ocat,1.6.2,exe,AMD.OCAT,OCAT_v1.6.2.exe,PatternMatchOnlyNum,Yes,v1.6.3,v1.6.3,absent
halestudio,hale,5.0.1,msi,Wetransform.HaleStudio,hale-studio-5.0.1-en-x64.msi,PatternMatchOnlyNum,Yes,5.1.0,5.1.0,absent
yikuansun,webkitty,2.4.0,exe,YikuanSun.WebKitty,WebKitty.Setup.2.4.0.exe,PatternMatchOnlyNum,Yes,v3.2.1,v3.2.1,absent
Alex313031,codium,1.86.0.24036,exe,Alex313031.Codium,Codium_Setup_x64_1.86.0.24036.exe,PatternMatchOnlyNum,Yes,1.87.0.24061,1.87.0.24061,absent
yetone,openai-translator,0.0.42,msi,yetone.OpenAITranslator,OpenAI.Translator_0.0.42_x64_en-US.msi,PatternMatchOnlyNum,Yes,v0.3.27,v0.3.27,absent
PatentLobster,stinker,0.2.3,exe,PatentLobster.stinker,Stinker-Setup-0.2.3.exe,PatternMatchOnlyNum,Yes,v0.3.2,v0.3.2,absent
FalconNL93,WslToolbox,0.5.13,exe,FalconNL93.WSLToolbox,wsltoolbox-beta-v0.5.13-setup.exe,PatternMatchOnlyNum,Yes,,0.6.23.0,present
janet-lang,janet,1.27.0,msi,JanetLang.Janet,janet-1.27.0-windows-x64-installer.msi,PatternMatchOnlyNum,Yes,v1.33.0,v1.33.0,absent
Tenpi,Waifu2x-GUI,0.4.1,exe,Tenpi.Waifu2xGUI,Waifu2x-GUI-Setup-0.4.1.exe,PatternMatchOnlyNum,Yes,v0.4.9,v0.4.9,absent
nomic-ai,gpt4all,2.7.0,exe,nomic.gpt4all,gpt4all-installer-win64-v2.7.0.exe,PatternMatchOnlyNum,Yes,v2.7.1,v2.7.1,absent
firstversionist,polypane,13.1.2,exe,Firstversionist.Polypane,Polypane-Setup-13.1.2.exe,PatternMatchOnlyNum,Yes,v18.0.0,v18.0.0,absent
IsaqueS,Aventuras-de-quintal,1.0.0,msi,IsaqueS.AventurasDeQuintal,Aventuras.de.quintal-1.0.0.msi,PatternMatchOnlyNum,Yes,1.0,1.0,absent
tschoonj,GTK-for-Windows-Runtime-Environment-Installer,3.24.31,exe,tschoonj.GTKForWindows,gtk3-runtime-3.24.31-2022-01-04-ts-win64.exe,PatternMatchOnlyNum,Yes,2022-01-04,2022-01-04,absent
opengisch,QField,3.0.7,exe,QGIS.QField,qfield-v3.0.7-windows-x64.exe,PatternMatchOnlyNum,Yes,v3.1.9,v3.1.9,absent
sprout2000,elephicon,2.3.4,exe,sprout2000.Elephicon,Elephicon-2.3.4-win32-x64-installer.exe,PatternMatchOnlyNum,Yes,v2.9.2,v2.9.2,absent
MoneyTools,MyMoney.Net,2.0.1.10,msixbundle,LovettSoftware.MyMoney.Net,MoneyPackage_2.0.1.10_AnyCPU.msixbundle,PatternMatchOnlyNum,Yes,2.1.0.17,2.1.0.17,absent
Governikus,AusweisApp,2.0.3,msi,Governikus.AusweisApp,AusweisApp-2.0.3.msi,PatternMatchOnlyNum,Yes,2.1.0,2.1.0,absent
Yubico,yubioath-flutter,6.3.0,msi,Yubico.Authenticator,yubico-authenticator-6.3.0-win64.msi,PatternMatchOnlyNum,Yes,6.4.0,6.4.0,absent
jamulussoftware,jamulus,3.10.0,exe,VolkerFischer.Jamulus,jamulus_3.10.0_win.exe,PatternMatchOnlyNum,Yes,r3_10_0,r3_10_0,absent
hyperion-project,hyperion.ng,2.0.15,exe,hyperion-project.hyperion.ng,Hyperion-2.0.15-Windows-x64.exe,PatternMatchOnlyNum,Yes,2.0.16,2.0.16,absent
usemotion,desktopapp,0.43.0,exe,MotionTeam.MotionDesktopApp,Motion-0.43.0.Setup.exe,PatternMatchOnlyNum,Yes,0.66.0,v0.99.0,present
Gimanh,handscream,1.12.2,exe,Gimanh.handscream,TaskView-1.12.2.Win.exe,PatternMatchOnlyNum,Yes,v1.13.0-w,v1.13.0-w,absent
0neGal,viper,1.5.1,exe,OneGal.Viper,Viper-Setup-1.5.1.exe,PatternMatchOnlyNum,Yes,v1.11.0,v1.11.0,absent
leezer3,OpenBVE,1.9.2.4,exe,leezer3.OpenBVE,openBVE-1.9.2.4-setup.exe,PatternMatchOnlyNum,Yes,1.9.2.7,1.9.2.7,absent
microsoft,MSIX-Toolkit,1.2020.221.0,msix,Microsoft.AppInstallerFileBuilder,AppInstallerFileBuilder_1.2020.221.0_x86.msix,PatternMatchOnlyNum,Yes,v2.0,v2.0,absent
Adamant-im,adamant-im,4.5.1,exe,Adamant.Messenger,ADAMANT-Messenger-Setup-4.5.1.exe,PatternMatchOnlyNum,Yes,v4.5.3,v4.5.3,absent
obsproject,obs-amd-encoder,2.6.0.0,exe,OBSProject.obs-amd-encoder,obs-amd-encoder-2.6.0.0.exe,PatternMatchOnlyNum,Yes,2.6.0,2.6.0,absent
mi-g,vdhcoapp,1.6.3,exe,DownloadHelper.VdhCoApp,VdhCoAppSetup-1.6.3.exe,PatternMatchOnlyNum,Yes,v2.0.19,v2.0.19,absent
occ-ai,obs-backgroundremoval,1.1.8,exe,RoyShilkrot.obs-backgroundremoval,obs-backgroundremoval-1.1.8-windows-x64-Installer.exe,PatternMatchOnlyNum,Yes,1.1.10,1.1.10,absent
Reptarsrage,looking-glass,0.4.25,exe,Reptarsrage.looking-glass,The-Looking-Glass-Setup-0.4.25.exe,PatternMatchOnlyNum,Yes,v0.6.0,v0.6.0,absent
maplemedia,pulse-sms-desktop,4.5.2,exe,MapleMedia.PulseSMS,pulse-sms-4.5.2.exe,PatternMatchOnlyNum,Yes,v4.5.3,v4.5.3,absent
Enderbyte-Programs,WinTimeIt,1.2,exe,EnderbytePrograms.TimeIt,wintimeit-1.2-setup.exe,PatternMatchOnlyNum,Yes,v1.3,v1.3,absent
Kittyfisto,Tailviewer,1.0.0.39,exe,Kittyfisto.Tailviewer,Tailviewer-setup-1.0.0.39.exe,PatternMatchOnlyNum,Yes,v1.0.0-rc1,v1.0.0-rc1,absent
Bedrock-OSS,regolith,1.1.0,msi,Bedrock-OSS.regolith,regolith-1.1.0.msi,PatternMatchOnlyNum,Yes,1.2.0,1.2.0,absent
henrypp,errorlookup,2.4.2,exe,Henry++.ErrorLookup,errorlookup-2.4.2-setup.exe,PatternMatchOnlyNum,Yes,v.2.5,v.2.5,absent
mozilla,sops,3.7.3,exe,Mozilla.SOPS,sops-v3.7.3.exe,PatternMatchOnlyNum,Yes,v3.8.1,v3.8.1,absent
OpenVR-Advanced-Settings,OpenVR-AdvancedSettings,5.7.4,exe,OVRASTeam.OpenVR-AdvancedSettings,AdvancedSettings-5.7.4-Installer.exe,PatternMatchOnlyNum,Yes,v5.8.6,v5.8.6,absent
feliskio,sleep-timer,1.2.0,exe,feliskio.sleep-timer,Sleep.Timer.Setup.1.2.0.exe,PatternMatchOnlyNum,Yes,v2.2.0,v2.2.0,absent
hackaru-app,hackaru-desktop,1.5.18,exe,ktmouk.Hackaru,hackaru-desktop-v1.5.18.exe,PatternMatchOnlyNum,Yes,v1.5.21,v1.5.21,absent
