PackageIdentifier,GitHubRepo,AvailableVersions,VersionFormatPattern,CurrentLatestVersionInWinGet,InstallerURLsCount,LatestVersionURLsInWinGet,ArchExtPairs,HasOpenPullRequests,GitHubLatest,LatestGitHubURLs,WinGetVersionsFound,URLComparisonPerformed,ExactURLMatches,HasAnyURLMatch,WinGetVersionsList,UniqueWinGetURLsCount,ExactMatchDetails,GitHubURLsChecked,WinGetURLsTotal,ComparisonFailureReason
zeankundev.suside,SerialDesignatorN/suside,"2.3.0,2.3.2,2.3.3",1NumDot1NumDot1Num,2.3.3,1,https://github.com/SerialDesignatorN/suside/releases/download/2.3.3.1/Suside_Installer_2.3.3_win.exe,NA-exe,absent,2.3.3.1,https://github.com/zeankundev/suside/releases/download/2.3.3.1/Suside_Installer_2.3.3_win.exe,3,True,0,False,"2.3.0,2.3.3,2.3.2",3,,https://github.com/zeankundev/suside/releases/download/2.3.3.1/Suside_Installer_2.3.3_win.exe,3,
Bloret.BloretLauncher,BloretCrew/Bloret-Launcher,"5,6",1Num,6,1,https://github.com/BloretCrew/Bloret-Launcher/releases/download/6/Bloret-Launcher-Setup.exe,NA-exe,absent,6.3,https://github.com/BloretCrew/Bloret-Launcher/releases/download/6.3/Bloret.Launcher.Setup.exe,2,True,0,False,"5,6",2,,https://github.com/BloretCrew/Bloret-Launcher/releases/download/6.3/Bloret.Launcher.Setup.exe,2,
SagMeinenNamen.eChess,SagMeinenNamen/eChess,1.8,1NumDot1Num,1.8,1,https://github.com/SagMeinenNamen/eChess/raw/main/eChess-Installer.exe,NA-exe,absent,v1.9,https://github.com/veudal/eChess/releases/download/v1.9/eChess.exe,1,True,0,False,1.8,1,,https://github.com/veudal/eChess/releases/download/v1.9/eChess.exe,1,
REDModding.WolvenKit.Nightly,WolvenKit/WolvenKit-nightly-releases,"8.16.1-nightly.2025-01-26,8.16.1-nightly.2025-01-27,8.16.1-nightly.2025-01-28,8.16.1-nightly.2025-02-02,8.16.1-nightly.2025-02-09,8.16.1-nightly.2025-02-11,8.16.1-nightly.2025-02-14,8.16.1-nightly.2025-02-15,8.16.1-nightly.2025-02-16,8.16.1-nightly.2025-02-19,8.16.1-nightly.2025-02-22,8.16.2-nightly.2025-02-23,8.16.2-nightly.2025-03-02,8.16.2-nightly.2025-03-15,8.8.1-nightly.2023-01-14,8.8.2-nightly.2023-02-16,8.8.2-nightly.2023-03-18","1NumDot1NumDot1NumDash7LetterDot4NumDash2NumDash2Num,1NumDot2NumDot1NumDash7LetterDot4NumDash2NumDash2Num",8.16.2-nightly.2025-03-15,1,https://github.com/WolvenKit/WolvenKit-nightly-releases/releases/download/8.16.2-nightly.2025-03-15/WolvenKit.NightlySetup-8.16.2-nightly.2025-03-15.exe,NA-exe,absent,8.16.2-nightly.2025-07-13,https://github.com/WolvenKit/WolvenKit-nightly-releases/releases/download/8.16.2-nightly.2025-07-13/WolvenKit.NightlySetup-8.16.2-nightly.2025-07-13.exe,17,True,0,False,"8.16.2-nightly.2025-03-15,8.8.2-nightly.2023-02-16,8.16.2-nightly.2025-02-23,8.16.1-nightly.2025-02-14,8.16.1-nightly.2025-02-02,8.8.1-nightly.2023-01-14,8.16.1-nightly.2025-01-26,8.16.1-nightly.2025-02-16,8.16.1-nightly.2025-01-28,8.16.1-nightly.2025-02-09,8.16.1-nightly.2025-02-11,8.16.2-nightly.2025-03-02,8.8.2-nightly.2023-03-18,8.16.1-nightly.2025-02-22,8.16.1-nightly.2025-02-19,8.16.1-nightly.2025-02-15,8.16.1-nightly.2025-01-27",17,,https://github.com/WolvenKit/WolvenKit-nightly-releases/releases/download/8.16.2-nightly.2025-07-13/WolvenKit.NightlySetup-8.16.2-nightly.2025-07-13.exe,17,
CollapseLauncher.Collapse.Preview,CollapseLauncher/Collapse,"1.82.13,1.82.4","1NumDot2NumDot1Num,1NumDot2NumDot2Num",1.82.13,1,https://github.com/CollapseLauncher/Collapse/releases/download/CL-v1.82.13-pre/CollapseLauncher-preview-Setup.exe,NA-exe,absent,CL-v1.82.28,https://github.com/CollapseLauncher/Collapse/releases/download/CL-v1.82.28/CollapseLauncher-stable-Setup.exe,2,True,0,False,"1.82.13,1.82.4",2,,https://github.com/CollapseLauncher/Collapse/releases/download/CL-v1.82.28/CollapseLauncher-stable-Setup.exe,2,
zadjii.SegoeIcons,zadjii/CmdPalExtensions,0.0.3.0,1NumDot1NumDot1NumDot1Num,0.0.3.0,1,https://github.com/zadjii/CmdPalExtensions/releases/download/icons%2Fv0.0.3/SegoeIconsExtension_0.0.3.0_x64.msix,x64-msix,absent,mastodon/v0.0.5,https://github.com/zadjii/CmdPalExtensions/releases/download/mastodon/v0.0.5/MastodonExtension_0.0.5.0_x64.msix,1,True,0,False,0.0.3.0,1,,https://github.com/zadjii/CmdPalExtensions/releases/download/mastodon/v0.0.5/MastodonExtension_0.0.5.0_x64.msix,1,
amrdeveloper.gitql,AmrDeveloper/GQL,"0.10.0,0.11.0,0.12.0,0.13.0,0.14.0,0.15.0,0.16.0,0.17.0,0.18.0,0.19.1,0.20.0,0.23.0,0.24.0,0.25.0,0.28.0,0.33.0,0.35.0,0.36.0,0.37.0,0.7.1","1NumDot1NumDot1Num,1NumDot2NumDot1Num",0.37.0,2,"https://github.com/AmrDeveloper/GQL/releases/download/0.37.0/gql-x86-windows.exe,https://github.com/AmrDeveloper/GQL/releases/download/0.37.0/gql-x86_64-windows.exe","x86-exe,x86_64-exe",absent,0.39.0,"https://github.com/AmrDeveloper/GQL/releases/download/0.39.0/gql-x86-windows.exe,https://github.com/AmrDeveloper/GQL/releases/download/0.39.0/gql-x86_64-windows.exe",20,True,0,False,"0.37.0,0.36.0,0.25.0,0.20.0,0.10.0,0.23.0,0.15.0,0.28.0,0.18.0,0.19.1,0.13.0,0.12.0,0.16.0,0.11.0,0.14.0,0.17.0,0.24.0,0.35.0,0.33.0,0.7.1",40,,"https://github.com/AmrDeveloper/GQL/releases/download/0.39.0/gql-x86-windows.exe,https://github.com/AmrDeveloper/GQL/releases/download/0.39.0/gql-x86_64-windows.exe",40,
albertony.npiperelay,albertony/npiperelay,"1.6.2,1.8.0",1NumDot1NumDot1Num,1.8.0,2,"https://github.com/albertony/npiperelay/releases/download/v1.8.0/npiperelay_windows_386.zip,https://github.com/albertony/npiperelay/releases/download/v1.8.0/npiperelay_windows_amd64.zip","386-zip,amd64-zip",absent,v1.8.2,"https://github.com/albertony/npiperelay/releases/download/v1.8.2/npiperelay_windows_386.zip,https://github.com/albertony/npiperelay/releases/download/v1.8.2/npiperelay_windows_amd64.zip",2,True,0,False,"1.8.0,1.6.2",4,,"https://github.com/albertony/npiperelay/releases/download/v1.8.2/npiperelay_windows_386.zip,https://github.com/albertony/npiperelay/releases/download/v1.8.2/npiperelay_windows_amd64.zip",4,
SagMeinenNamen.TypingTest,SagMeinenNamen/TypingTest,1.0.0.0,1NumDot1NumDot1NumDot1Num,1.0.0.0,1,https://github.com/SagMeinenNamen/TypingTest/raw/main/TypingTest.exe,NA-exe,absent,v1.0,https://github.com/veudal/TypingTest/releases/download/v1.0/TypingTest.exe,1,True,0,False,1.0.0.0,1,,https://github.com/veudal/TypingTest/releases/download/v1.0/TypingTest.exe,1,
MKProj.Minerva,MKProj/Minerva,1.1.1,1NumDot1NumDot1Num,1.1.1,1,https://github.com/MKProj/Minerva/releases/download/v1.1.1-win/minerva-1.1.1.Setup.exe,NA-exe,absent,v1.1.1-win,https://github.com/Mustafif/Minerva2/releases/download/v1.1.1-win/minerva-1.1.1.Setup.exe,1,True,0,False,1.1.1,1,,https://github.com/Mustafif/Minerva2/releases/download/v1.1.1-win/minerva-1.1.1.Setup.exe,1,
