number,title,user,created_at,updated_at,url
274050,New version: LobeHub.LobeHub version 1.98.1,spectopo,2025-07-14T05:17:03Z,2025-07-14T05:18:10Z,https://github.com/microsoft/winget-pkgs/pull/274050
274048,Add version: MongoDB.Compass.Full version 1.46.5,rodrigoborgesdeoliveira,2025-07-14T05:09:51Z,2025-07-14T05:10:58Z,https://github.com/microsoft/winget-pkgs/pull/274048
274049,Add version: MongoDB.Compass.Readonly version 1.46.5,rodrigoborgesdeoliveira,2025-07-14T05:09:51Z,2025-07-14T05:10:55Z,https://github.com/microsoft/winget-pkgs/pull/274049
274047,Add version: MongoDB.Compass.Isolated version 1.46.5,rodrigoborgesdeoliveira,2025-07-14T05:09:50Z,2025-07-14T05:11:07Z,https://github.com/microsoft/winget-pkgs/pull/274047
274046,New version: jdx.mise version 2025.7.9,damn-good-b0t,2025-07-14T04:48:01Z,2025-07-14T04:49:07Z,https://github.com/microsoft/winget-pkgs/pull/274046
274045,New version: Unity.Unity.CN.2022 version 2022.3.61f1c1,spectopo,2025-07-14T04:31:57Z,2025-07-14T04:33:06Z,https://github.com/microsoft/winget-pkgs/pull/274045
274044,New version: Tencent.Yuanbao version 2.30.0,spectopo,2025-07-14T04:30:01Z,2025-07-14T04:31:07Z,https://github.com/microsoft/winget-pkgs/pull/274044
274043,Smallstep.step: v0.28.7,step-ci,2025-07-14T04:22:08Z,2025-07-14T04:23:20Z,https://github.com/microsoft/winget-pkgs/pull/274043
274042,New version: LibreCAD.LibreCAD version 2.2.1.2,kris6673,2025-07-14T04:20:05Z,2025-07-14T04:21:15Z,https://github.com/microsoft/winget-pkgs/pull/274042
274041,New version: Microsoft.PIX version 2507.11,SpecterShell,2025-07-14T04:16:24Z,2025-07-14T04:19:10Z,https://github.com/microsoft/winget-pkgs/pull/274041
274040,Update version: Zen-Team.Zen-Browser.Twilight version 1.15t,UnownBot,2025-07-14T04:01:29Z,2025-07-14T04:02:32Z,https://github.com/microsoft/winget-pkgs/pull/274040
274039,New version: Casey.Just version 1.42.0,michidk,2025-07-14T03:58:26Z,2025-07-14T05:18:23Z,https://github.com/microsoft/winget-pkgs/pull/274039
274038,New package: Datacomp.BIMvision version 3.0.3,SpecterShell,2025-07-14T03:47:57Z,2025-07-14T04:26:06Z,https://github.com/microsoft/winget-pkgs/pull/274038
274037,New version: QNAP.NetBakPCAgent version 1.2.6 (1.2.6.920),spectopo,2025-07-14T03:42:30Z,2025-07-14T03:43:35Z,https://github.com/microsoft/winget-pkgs/pull/274037
274036,New version: SST.opencode version 0.3.2,spectopo,2025-07-14T03:42:06Z,2025-07-14T04:58:08Z,https://github.com/microsoft/winget-pkgs/pull/274036
