username,reponame,latest_ver,extension,pkgs_name,pkg_pattern,version_pattern_match,update_requires,github_latest_vers,github_earliest_vers,IsEarliestVerReleases
iamscottxu,obs-rtspserver,3.0.0,exe,iamscottxu.obs-rtspserver,obs-rtspserver-v3.0.0-windows-installer.exe,PatternMatchOnlyNum,Yes,v3.1.0,v3.1.0,absent
mongodb-js,compass,1.41.0,msi,MongoDB.Compass.Community,mongodb-compass-1.41.0-win32-x64.msi,PatternMatchOnlyNum,Yes,v1.42.3,v1.42.4-beta.4,present
open-source-labs,ReacType,11.0.0,msi,open-source-labs.ReacType,ReacType.11.0.0.Windows.Installer.msi,PatternMatchOnlyNum,Yes,v20.0.0,v20.0.0,absent
mgajda83,CertoNiuchacz,2.0.1.0,msix,PowerClouds.CertoNiuchacz,CertoNiuchacz_2.0.1.0_x64__4tr01tz8fz8e6.msix,PatternMatchOnlyNum,Yes,v2.0.1,v2.0.1,absent
chen-qingyu,bf,1.0.0,exe,ChenQingYu.BF,bf-1.0.0-win64.exe,PatternMatchOnlyNum,Yes,v1.1.0,v1.1.0,absent
cangzhang,champ-r,1.3.11,exe,cangzhang.champ-r,ChampR-Setup-1.3.11.exe,PatternMatchOnlyNum,Yes,v2.0.2-b7,v2.0.2-b7,absent
Serg-Norseman,GEDKeeper,3.2.0,exe,SVZsoft.GEDKeeper,gedkeeper_3.2.0_win86.exe,PatternMatchOnlyNum,Yes,v3.5.1,v3.5.1,absent
spyglass-search,spyglass,23.5.1,msi,athlabs.Spyglass,Spyglass_23.5.1_x64_en-US.msi,PatternMatchOnlyNum,Yes,v2023.11.1,v2023.11.1,absent
SaladTechnologies,salad-applications,1.3.6,exe,SaladTechnologies.Salad,Salad-1.3.6.exe,PatternMatchOnlyNum,Yes,1.4.7,1.4.7,absent
lure0xaos,rpycg,1.0.0,msi,TamsosVardu.RenPyCheatGenerator,RenPyCheatGenerator-1.0.0.msi,PatternMatchOnlyNum,Yes,kotlin,kotlin,absent
BRL-CAD,brlcad,7.38.0,exe,BRL-CAD.brlcad,BRL-CAD_7.38.0_win64.exe,PatternMatchOnlyNum,Yes,rel-7-38-2,rel-7-38-2,absent
firstversionist,polypane,13.1.2,exe,Firstversionist.Polypane,Polypane-Setup-13.1.2.exe,PatternMatchOnlyNum,Yes,v18.0.4,v18.0.4,absent
mozilla,sops,3.7.3,exe,Mozilla.SOPS,sops-v3.7.3.exe,PatternMatchOnlyNum,Yes,v3.8.1,v3.8.1,absent
microsoft,MSIX-Toolkit,1.2020.221.0,msix,Microsoft.AppInstallerFileBuilder,AppInstallerFileBuilder_1.2020.221.0_x86.msix,PatternMatchOnlyNum,Yes,v2.0,v2.0,absent
patrikx3,redis-ui,2023.10.238,exe,PatrikLaszlo.P3XRedisUI,p3x-redis-ui-electron-setup-win-2023.10.238.exe,PatternMatchOnlyNum,Yes,v2024.4.233,v2024.4.233,absent
internxt,drive-desktop,2.0.5,exe,Internxt.Drive,Internxt-Drive-Setup-2.0.5.exe,PatternMatchOnlyNum,Yes,v2.0.6,v2.0.6,absent
leezer3,OpenBVE,1.9.2.4,exe,leezer3.OpenBVE,openBVE-1.9.2.4-setup.exe,PatternMatchOnlyNum,Yes,1.10.0,1.10.0,absent
willnewii,qiniuClient,0.0.9,exe,willnewii.qiniuClient,qiniu.client-0.0.9-win.exe,PatternMatchOnlyNum,Yes,0.3.0,0.3.0,absent
muffinista,before-dawn,0.29.0,exe,muffinista.before-dawn,Before-Dawn-Setup-0.29.0.exe,PatternMatchOnlyNum,Yes,v0.30.1,v0.30.1,absent
vividos,winLAME,2.21.1.108,msi,vividos.winLAME,winLAME-Setup-2.21.1.108.msi,PatternMatchOnlyNum,Yes,winlame-2023-release-1,winlame-2023-release-1,absent
Alex313031,codium,1.86.2.24053,exe,Alex313031.Codium,Codium_Setup_x64_1.86.2.24053.exe,PatternMatchOnlyNum,Yes,1.88.0.24097,1.88.0.24097,absent
