column1,column2,column3,column4,column5,column6
KingsGroup,KingOfAvalon
Craftware,Keyhac
PixelsLTD,PeerBrain
Audient,EVO
EddieWang,Sia-UI
Huawei,HiSuite
ES-DE,EmulationStation-DE
Azul,Zulu,15,JRE
Housatonic,ProjectPlan365
fhanau,Efficient-Compression-Tool
Makeblock,LaserBox
Microsoft,DotNet,HostingBundle,3_1
Wagnardsoft,DisplayDriverUninstaller
LSoftTechnologies,ActiveISOManager
SecurepointGmbH,SecurepointSSLVPN
CABS,SalesPrix
Schniz,fnm
Aserto,Topaz
FleetingClarityStudios,RipShout
DWANGO,NAIR,experimental
Microsoft,AzureMediaServicesExplorer
Valve,SteamLink
Startpack,Firework
Splunk,ACS
Meitu,ColorByte
WizardsoftheCoast,MTGALauncher
Wondershare,PDFReader,CN
HagelTechnologiesLtd,DUMeter
Serraniel,DiscordMediaLoader
ZhornSoftware,Stickies
SatoshiLabs,trezor-suite
Qingfeng,HeyboxAccelerator
LSoftTechnologies,ActivePasswordChanger
BinaryFortress,ClipboardFusion
Alibaba,MiniProgramStudio
ElectronicTeam,USBNetworkGate
Zoom,Zoom,EXE
DownloadHelper,VdhCoApp
SagMeinenNamen,TypingTest
Jsoftware,J,9,5,slim
Magicsplat,TclTk
MattTytel,Helm
Wondershare,PDFelement,7
svenstaro,genact
TheBombermaaanteam,Bombermaaan
h3poteto,whalebird-desktop
Coloryr,ColorMC
den4b,Shutter
Microsoft,Azure,StorageEmulator
GitHub,Atom
Niimbot,NIIMBOT
Microsoft,msmpi
Google,JapaneseIME
NewCloud,ScreenCaptureRecorder
FalconNL93,WSLToolbox
360,PalmInput
WatchGuard,MobileVPNWithSSLClient
OpenRPAApS,OpenRPA
Tencent,DeskGo
3TSoftwareLabs,Robo3T
ShiftCryptoAG,BitBoxApp
Japplis,ClipboardHistory
Hugo,Hugo,Extended
Wondershare,PDFConverter,Pro
CrystalDewWorld,CrystalDiskMark
WatchGuardTechnologies,WatchGuardSystemManager
okkosh,fnlock
CatnipGames,ShroudoftheAvatar
ToptenSoftware,VBoxHeadlessTray
AbiSource,AbiWord
Dell,DisplayManager
amitmerchant1990,electron-markdownify
BiSS,WSLDiskShrinker
jbreland,uniextract
bbatistadaniel,autoclicker
Peppy,Osu!
Cisco,UmbrellaRoamingClient
Martevax,TitulkyCom
InfiniteInstant,KoduGameLab
NextDNS,NextDNS,Desktop
Exercism,CLI
EdrawSoft,OrgCharting
szTheory,exifcleaner
KDani-99,timetable
KDE,KDEConnect
OpenHantek,OpenHantek6022
KDE,umbrello
Wondershare,HiPDF
SurgeSynth,Surge
ChawyeHsu,Hok
SergeySerkov,TagScanner
BellSoft,LibericaJRE,21,Full
goreleaser,nfpm
Python,Python,3,4
The0xGingi-BrowserAuthors,0xGingi-BrowserInstaller
PolarGoose,CoffeeBean
Henry++,MemReduct
PaodingAI,Scriber
Taomee,Mole
MullvadVPN,MullvadBrowser
Rohde&Schwarz,SDC,IETDViewPublish
charmbracelet,gum
Yandex,Browser
HydrologicEngineeringCenter,HEC-EFMPlotter
Bitnami,Joomla
Japplis,DirectoryCrop
Stoplight,Studio
Ultimaker,Cura
codehex,Neo-cowsay
Hesan,He3
Datto,WorkplaceServer
VaclavSlavik,Poedit
Ookla,Speedtest,Desktop
CondaForge,Mambaforge
AIVOICE,BENISHOGA
Tweaking4All,MiniWOL2
KhronosGroup,VulkanSDK
Codebox,BitMeterOS
MongoDB,Compass,Community
Garmin,Express
WaveMetrics,IgorPro7
Telerik,Fiddler,Everywhere,Insiders
jhen0409,ReactNativeDebugger
WavesAudio,WavesCentral
BinaryMark,BatchWordReplace
Docker,DockerCLI
ahmetb,kubens
AuraSide,Mantle
TheDocumentFoundation,LibreOffice
Axosoft,GitKraken
benny93,kafui
CloneHeroTeam,CloneHero
Approximatrix,SimplyFortran
UZ7HO,EasyTerm
univrsal,scrab
PatrikLaszlo,P3XRedisUI
XSplit,VCam
JetBrains,RustRover,EAP
EdrawSoft,EdrawProj
ExtendOffice,OfficeTab
Jubler,App
DominikReichl,KeePass
winpython,winpython-dot-pypy
Microsoft,WindowsWDK,10,0,22621
HP,HPCMSL
