PackageIdentifier,GitHubRepo,AvailableVersions,VersionFormatPattern,CurrentLatestVersionInWinGet,InstallerURLsCount,LatestVersionURLsInWinGet,ArchExtPairs,HasOpenPullRequests,GitHubLatest,LatestGitHubURLs,WinGetVersionsFound,URLComparisonPerformed,ExactURLMatches,HasAnyURLMatch,WinGetVersionsList,UniqueWinGetURLsCount,ExactMatchDetails,GitHubURLsChecked,WinGetURLsTotal,ComparisonFailureReason
fupdec.mediaChips,fupdec/mediaChips,"0.11.2,0.12.4",1NumDot2NumDot1Num,0.12.4,1,https://github.com/fupdec/mediaChips/releases/download/v0.12.4-beta/mediaChips.v0.12.4.Windows.Installer.exe,NA-exe,absent,v0.12.5-beta,"https://github.com/fupdec/mediaChips/releases/download/v0.12.5-beta/MediaChips.v0.12.0.Windows.Portable.exe,https://github.com/fupdec/mediaChips/releases/download/v0.12.5-beta/MediaChips.v0.12.5.Windows.Installer.exe",2,True,0,False,"0.12.4,0.11.2",2,,"https://github.com/fupdec/mediaChips/releases/download/v0.12.5-beta/MediaChips.v0.12.0.Windows.Portable.exe,https://github.com/fupdec/mediaChips/releases/download/v0.12.5-beta/MediaChips.v0.12.5.Windows.Installer.exe",2,
FajoX1.FAgramDesktop,FajoX1/fagramdesktop,1.1.8,1NumDot1NumDot1Num,1.1.8,4,"https://github.com/FajoX1/fagramdesktop/releases/download/v1.1.8/FAgram_x32_installer.exe,https://github.com/FajoX1/fagramdesktop/releases/download/v1.1.8/FAgram_x32_installer.exe,https://github.com/FajoX1/fagramdesktop/releases/download/v1.1.8/FAgram_x64_installer.exe,https://github.com/FajoX1/fagramdesktop/releases/download/v1.1.8/FAgram_x64_installer.exe","NA-exe,x64-exe",absent,v1.1.9,"https://github.com/FajoX1/fagramdesktop/releases/download/v1.1.9/FAgram_x32_installer.exe,https://github.com/FajoX1/fagramdesktop/releases/download/v1.1.9/FAgram_x64_installer.exe",1,True,0,False,1.1.8,2,,"https://github.com/FajoX1/fagramdesktop/releases/download/v1.1.9/FAgram_x32_installer.exe,https://github.com/FajoX1/fagramdesktop/releases/download/v1.1.9/FAgram_x64_installer.exe",2,
raphamorim.rio,raphamorim/rio,"0.1.16,0.2.0,0.2.1,0.2.12,0.2.13,0.2.14,0.2.15,0.2.16,0.2.17,0.2.18,0.2.19,0.2.2,0.2.5,0.2.6,0.2.7","1NumDot1NumDot1Num,1NumDot1NumDot2Num",0.2.19,2,"https://github.com/raphamorim/rio/releases/download/v0.2.19/Rio-installer-x86_64.msi,https://github.com/raphamorim/rio/releases/download/v0.2.19/Rio-installer-aarch64.msi","aarch64-msi,x86-msi",absent,v0.2.20,"https://github.com/raphamorim/rio/releases/download/v0.2.20/rio-installer-aarch64.msi,https://github.com/raphamorim/rio/releases/download/v0.2.20/rio-installer-x86_64.msi",15,True,0,False,"0.2.16,0.2.17,0.2.5,0.2.13,0.2.19,0.2.1,0.2.12,0.1.16,0.2.14,0.2.7,0.2.18,0.2.2,0.2.0,0.2.6,0.2.15",29,,"https://github.com/raphamorim/rio/releases/download/v0.2.20/rio-installer-aarch64.msi,https://github.com/raphamorim/rio/releases/download/v0.2.20/rio-installer-x86_64.msi",29,
OneWare.OneWareStudio,one-ware/OneWare,"0.13.1.0,0.14.0.0,0.15.3.0,0.16.7.0,0.16.8.0,0.17.5.0,0.17.6.0,0.17.7.0,0.18.0.0,0.18.5.0,0.19.1.0,0.19.2.0,0.20.0.0,0.20.4.0,0.20.5.0,0.21.0.0,0.21.2.0,0.21.3.0,0.21.4.0",1NumDot2NumDot1NumDot1Num,0.21.4.0,1,https://github.com/one-ware/OneWare/releases/download/0.21.4.0/OneWareStudio-0.21.4.0-win-x64.msi,x64-msi,absent,0.21.6.0,https://github.com/one-ware/OneWare/releases/download/0.21.6.0/OneWareStudio-0.21.6.0-win-x64.msi,19,True,0,False,"0.18.0.0,0.20.0.0,0.15.3.0,0.13.1.0,0.17.7.0,0.16.8.0,0.21.3.0,0.20.5.0,0.20.4.0,0.16.7.0,0.17.5.0,0.21.4.0,0.19.1.0,0.17.6.0,0.14.0.0,0.18.5.0,0.21.2.0,0.21.0.0,0.19.2.0",19,,https://github.com/one-ware/OneWare/releases/download/0.21.6.0/OneWareStudio-0.21.6.0-win-x64.msi,19,
InTheLoop.LoopEmail.Beta,4thOffice/loopinupdater,"6.18.7-beta.2,6.18.8-beta.2,6.18.9,6.19.0-beta.3,6.19.0-beta.5,6.19.0-beta.8,6.19.1-beta.1,6.19.1-beta.2,6.19.1-beta.3,6.19.1-beta.4,6.19.1-beta.5,6.20.0-beta.1,6.20.0-beta.2,6.20.0-beta.3,6.20.0-beta.4,6.20.0-beta.5,6.21.0-beta.1,6.21.0-beta.2,6.21.0-beta.4,6.21.0-beta.5,6.21.7-beta.1,6.21.7-beta.2,6.21.7-beta.3,6.22.0-beta.5,6.23.0-beta.1,6.23.0-beta.2,6.23.0-beta.3,6.23.0-beta.4,6.23.14-beta.1,6.23.16-beta.1,6.23.20,6.23.4-beta.1,6.23.4-beta.5,6.23.4-beta.7,6.23.8-beta.1,6.23.8-beta.2,7.4.6","1NumDot1NumDot1Num,1NumDot2NumDot1Num,1NumDot2NumDot1NumDashbetaDot1Num,1NumDot2NumDot2Num,1NumDot2NumDot2NumDashbetaDot1Num",7.4.6,2,"https://github.com/4thOffice/loopinupdater/releases/download/v7.4.6/Loop-Email-Setup-7.4.6.exe,https://github.com/4thOffice/loopinupdater/releases/download/v7.4.6/Loop-Email-Setup-7.4.6.exe",NA-exe,absent,v7.6.1,https://github.com/4thOffice/loopinupdater/releases/download/v7.6.1/Loop-Email-Setup-7.6.1.exe,37,True,0,False,"6.19.0-beta.8,6.19.1-beta.5,6.23.0-beta.1,6.21.7-beta.3,6.23.8-beta.2,6.20.0-beta.1,6.21.0-beta.1,6.23.16-beta.1,6.19.0-beta.3,6.23.8-beta.1,6.18.9,6.19.0-beta.5,6.21.0-beta.2,6.23.4-beta.1,6.23.0-beta.2,6.20.0-beta.5,7.4.6,6.21.7-beta.2,6.21.0-beta.4,6.20.0-beta.4,6.19.1-beta.4,6.21.7-beta.1,6.21.0-beta.5,6.23.20,6.19.1-beta.3,6.20.0-beta.3,6.18.8-beta.2,6.19.1-beta.2,6.18.7-beta.2,6.23.4-beta.5,6.23.0-beta.3,6.23.4-beta.7,6.20.0-beta.2,6.23.0-beta.4,6.23.14-beta.1,6.19.1-beta.1,6.22.0-beta.5",37,,https://github.com/4thOffice/loopinupdater/releases/download/v7.6.1/Loop-Email-Setup-7.6.1.exe,37,
Cyanfish.NAPS2.Prerelease,cyanfish/naps2,"7.0b1,7.0b2,7.0b4,7.0b9",1NumDot1Num1Letter1Num,7.0b9,2,"https://github.com/cyanfish/naps2/releases/download/v7.0b9/naps2-7.0b9-win-x86.msi,https://github.com/cyanfish/naps2/releases/download/v7.0b9/naps2-7.0b9-win-x64.msi","x64-msi,x86-msi",absent,v8.2.0,https://github.com/cyanfish/naps2/releases/download/v8.2.0/naps2-8.2.0-win-x64.msi,4,True,0,False,"7.0b1,7.0b4,7.0b2,7.0b9",8,,https://github.com/cyanfish/naps2/releases/download/v8.2.0/naps2-8.2.0-win-x64.msi,8,
Warrensbox.TerraformSwitcher,warrensbox/terraform-switcher,0.13.1308,1NumDot2NumDot4Num,0.13.1308,3,"https://github.com/warrensbox/terraform-switcher/releases/download/0.13.1308/terraform-switcher_0.13.1308_windows_386.zip,https://github.com/warrensbox/terraform-switcher/releases/download/0.13.1308/terraform-switcher_0.13.1308_windows_amd64.zip,https://github.com/warrensbox/terraform-switcher/releases/download/0.13.1308/terraform-switcher_0.13.1308_windows_arm64.zip","NA-zip,arm64-zip",absent,v1.4.6,"https://github.com/warrensbox/terraform-switcher/releases/download/v1.4.6/terraform-switcher_v1.4.6_windows_386.zip,https://github.com/warrensbox/terraform-switcher/releases/download/v1.4.6/terraform-switcher_v1.4.6_windows_amd64.zip,https://github.com/warrensbox/terraform-switcher/releases/download/v1.4.6/terraform-switcher_v1.4.6_windows_armv6.zip,https://github.com/warrensbox/terraform-switcher/releases/download/v1.4.6/terraform-switcher_v1.4.6_windows_armv7.zip",1,True,0,False,0.13.1308,3,,"https://github.com/warrensbox/terraform-switcher/releases/download/v1.4.6/terraform-switcher_v1.4.6_windows_386.zip,https://github.com/warrensbox/terraform-switcher/releases/download/v1.4.6/terraform-switcher_v1.4.6_windows_amd64.zip,https://github.com/warrensbox/terraform-switcher/releases/download/v1.4.6/terraform-switcher_v1.4.6_windows_armv6.zip,https://github.com/warrensbox/terraform-switcher/releases/download/v1.4.6/terraform-switcher_v1.4.6_windows_armv7.zip",3,
OBSProject.OBSStudio.Pre-release,obsproject/obs-studio,"28.0.0-rc2,28.1.0,28.1.0-rc1,29.0.0-beta1,29.0.0-beta2,29.0.0-beta3,29.1.0-beta1,29.1.0-beta2,29.1.0-beta3,30.0.0-beta1,30.0.0-beta2,30.0.0-beta3,30.0.0-rc2,30.1.0,31.1.0-beta2,31.1.0-rc1","2NumDot1NumDot1Num,2NumDot1NumDot1NumDashbeta1Num,2NumDot1NumDot1NumDashrc1Num",31.1.0-rc1,1,https://github.com/obsproject/obs-studio/releases/download/31.1.0-rc1/OBS-Studio-31.1.0-rc1-Windows-x64-Installer.exe,x64-exe,absent,31.1.1,https://github.com/obsproject/obs-studio/releases/download/31.1.1/OBS-Studio-31.1.1-Windows-x64-Installer.exe,16,True,0,False,"29.1.0-beta2,30.1.0,29.1.0-beta1,31.1.0-beta2,29.1.0-beta3,29.0.0-beta3,30.0.0-beta3,30.0.0-beta2,28.0.0-rc2,30.0.0-beta1,31.1.0-rc1,29.0.0-beta2,28.1.0-rc1,28.1.0,29.0.0-beta1,30.0.0-rc2",16,,https://github.com/obsproject/obs-studio/releases/download/31.1.1/OBS-Studio-31.1.1-Windows-x64-Installer.exe,16,
gsass1.NTop,gsass1/NTop,"0.3.20,0.3.21,0.3.4","1NumDot1NumDot1Num,1NumDot1NumDot2Num",0.3.21,1,https://github.com/gsass1/NTop/releases/download/v0.3.21/ntop.exe,NA-exe,absent,v0.3.21,https://github.com/gsass1/NTop/releases/download/v0.3.21/NTop.exe,3,True,0,False,"0.3.20,0.3.4,0.3.21",3,,https://github.com/gsass1/NTop/releases/download/v0.3.21/NTop.exe,3,
TeamSonarr.Sonarr,Sonarr/Sonarr,4.0.14.2939,1NumDot1NumDot2NumDot4Num,4.0.14.2939,2,"https://github.com/Sonarr/Sonarr/releases/download/v4.0.14.2939/Sonarr.main.4.0.14.2939.win-x86-installer.exe,https://github.com/Sonarr/Sonarr/releases/download/v4.0.14.2939/Sonarr.main.4.0.14.2939.win-x64-installer.exe","x64-exe,x86-exe",absent,v4.0.15.2941,"https://github.com/Sonarr/Sonarr/releases/download/v4.0.15.2941/Sonarr.main.4.0.15.2941.win-x64-installer.exe,https://github.com/Sonarr/Sonarr/releases/download/v4.0.15.2941/Sonarr.main.4.0.15.2941.win-x86-installer.exe",1,True,0,False,4.0.14.2939,2,,"https://github.com/Sonarr/Sonarr/releases/download/v4.0.15.2941/Sonarr.main.4.0.15.2941.win-x64-installer.exe,https://github.com/Sonarr/Sonarr/releases/download/v4.0.15.2941/Sonarr.main.4.0.15.2941.win-x86-installer.exe",2,
