PackageIdentifier,GitHubRepo,AvailableVersions,VersionFormatPattern,CurrentLatestVersionInWinGet,InstallerURLsCount,LatestVersionURLsInWinGet,ArchExtPairs,LatestVersionPullRequest,GitHubLatest,LatestGitHubURLs,WinGetVersionsFound,URLComparisonPerformed,ExactURLMatches,HasAnyURLMatch,WinGetVersionsList,UniqueWinGetURLsCount,ExactMatchDetails,GitHubURLsChecked,WinGetURLsTotal,ComparisonFailureReason
xiaoyifang.GoldenDict-ng,xiaoyifang/goldendict-ng,"23.05.01,24.01.22,24.09.0","2NumDot2NumDot1Num,2NumDot2NumDot2Num",24.09.0,1,https://github.com/xiaoyifang/goldendict-ng/releases/download/v24.09.0-Release.316ec900/GoldenDict-ng-24.09.0-Qt6.7.2.exe,NA-exe,merged,v25.06.0-Release.8a87a79b,"https://github.com/xiaoyifang/goldendict-ng/releases/download/v25.06.0-Release.8a87a79b/GoldenDict-ng-25.06.0-Qt6.6.3-Windows-installer.exe,https://github.com/xiaoyifang/goldendict-ng/releases/download/v25.06.0-Release.8a87a79b/GoldenDict-ng-25.06.0-Qt6.6.3-Windows-main-exe-file-only.exe,https://github.com/xiaoyifang/goldendict-ng/releases/download/v25.06.0-Release.8a87a79b/GoldenDict-ng-25.06.0-Qt6.7.2-Windows-installer.exe,https://github.com/xiaoyifang/goldendict-ng/releases/download/v25.06.0-Release.8a87a79b/GoldenDict-ng-25.06.0-Qt6.7.2-Windows-main-exe-file-only.exe",3,True,0,False,"23.05.01,24.01.22,24.09.0",3,,"https://github.com/xiaoyifang/goldendict-ng/releases/download/v25.06.0-Release.8a87a79b/GoldenDict-ng-25.06.0-Qt6.6.3-Windows-installer.exe,https://github.com/xiaoyifang/goldendict-ng/releases/download/v25.06.0-Release.8a87a79b/GoldenDict-ng-25.06.0-Qt6.6.3-Windows-main-exe-file-only.exe,https://github.com/xiaoyifang/goldendict-ng/releases/download/v25.06.0-Release.8a87a79b/GoldenDict-ng-25.06.0-Qt6.7.2-Windows-installer.exe,https://github.com/xiaoyifang/goldendict-ng/releases/download/v25.06.0-Release.8a87a79b/GoldenDict-ng-25.06.0-Qt6.7.2-Windows-main-exe-file-only.exe",3,
xenia-project.xenia,xenia-project/release-builds-windows,1.0.2805,1NumDot1NumDot4Num,1.0.2805,1,https://github.com/xenia-project/release-builds-windows/releases/download/v1.0.2805-master/xenia_master.zip,NA-zip,merged,v1.0.2817-master,"https://github.com/xenia-project/release-builds-windows/releases/download/v1.0.2817-master/xenia-vfs-dump_master.zip,https://github.com/xenia-project/release-builds-windows/releases/download/v1.0.2817-master/xenia_master.zip",1,True,0,False,1.0.2805,1,,"https://github.com/xenia-project/release-builds-windows/releases/download/v1.0.2817-master/xenia-vfs-dump_master.zip,https://github.com/xenia-project/release-builds-windows/releases/download/v1.0.2817-master/xenia_master.zip",1,
Xanthus58.VanillaRenewed,Xanthus58/Vanilla-Renewed,"2.2,2.3.0","1NumDot1Num,1NumDot1NumDot1Num",2.3.0,1,https://github.com/Xanthus58/Vanilla-Renewed/releases/download/1.19-2.3.0/INSTALLER_Vanilla_Renewed_1.19-2.3.0.exe,NA-exe,merged,1.19-2.3.0,https://github.com/Zephira58/Vanilla-Renewed/releases/download/1.19-2.3.0/INSTALLER_Vanilla_Renewed_1.19-2.3.0.exe,2,True,0,False,"2.3.0,2.2",2,,https://github.com/Zephira58/Vanilla-Renewed/releases/download/1.19-2.3.0/INSTALLER_Vanilla_Renewed_1.19-2.3.0.exe,2,
XiaoYouChR.GhostDownloader,XiaoYouChR/Ghost-Downloader-3,"3.5.11,3.5.12",1NumDot1NumDot2Num,3.5.12,2,"https://github.com/XiaoYouChR/Ghost-Downloader-3/releases/download/v3.5.12/Ghost-Downloader-v3.5.12-Windows-x86_64-Setup.exe,https://github.com/XiaoYouChR/Ghost-Downloader-3/releases/download/v3.5.12/Ghost-Downloader-v3.5.12-Windows-arm64-Setup.exe","arm64-exe,x86-exe",merged,v3.6,"https://github.com/XiaoYouChR/Ghost-Downloader-3/releases/download/v3.6/Ghost-Downloader-v3.6-Windows-arm64-Setup.exe,https://github.com/XiaoYouChR/Ghost-Downloader-3/releases/download/v3.6/Ghost-Downloader-v3.6-Windows-x86_64-Setup.exe",2,True,0,False,"3.5.12,3.5.11",3,,"https://github.com/XiaoYouChR/Ghost-Downloader-3/releases/download/v3.6/Ghost-Downloader-v3.6-Windows-arm64-Setup.exe,https://github.com/XiaoYouChR/Ghost-Downloader-3/releases/download/v3.6/Ghost-Downloader-v3.6-Windows-x86_64-Setup.exe",3,
xushengfeng.eSearch,xushengfeng/eSearch,"1.11.0,1.12.0,1.4.4,1.6.0,1.7.0,1.7.1,1.7.2,1.7.3,1.7.4,1.8.0,1.9.1,1.9.2,1.9.3,1.9.4,1.9.5,1.9.6,1.9.7,1.9.8,14.1.0,14.1.6,14.1.7,14.2.0,14.3.0,14.4.1,14.5.0,14.6.0,14.6.1,14.6.2,15.0.0","1NumDot1NumDot1Num,1NumDot2NumDot1Num,2NumDot1NumDot1Num",15.0.0,2,"https://github.com/xushengfeng/eSearch/releases/download/15.0.0/eSearch-15.0.0-win32-x64.exe,https://github.com/xushengfeng/eSearch/releases/download/15.0.0/eSearch-15.0.0-win32-x64.exe",x64-exe,merged,15.0.1,"https://github.com/xushengfeng/eSearch/releases/download/15.0.1/eSearch-15.0.1-win32-arm64.exe,https://github.com/xushengfeng/eSearch/releases/download/15.0.1/eSearch-15.0.1-win32-x64.exe",29,True,0,False,"1.9.1,1.6.0,14.5.0,15.0.0,1.7.2,1.8.0,1.9.6,1.9.7,14.6.0,1.11.0,1.4.4,1.12.0,14.1.6,1.7.4,14.6.2,1.7.1,14.1.7,14.3.0,14.2.0,1.7.3,1.9.3,1.9.5,1.9.2,14.4.1,1.7.0,1.9.8,14.6.1,14.1.0,1.9.4",29,,"https://github.com/xushengfeng/eSearch/releases/download/15.0.1/eSearch-15.0.1-win32-arm64.exe,https://github.com/xushengfeng/eSearch/releases/download/15.0.1/eSearch-15.0.1-win32-x64.exe",29,
xxanqw.mikusays,xxanqw/mikusays,0.1.0,1NumDot1NumDot1Num,0.1.0,2,"https://github.com/xxanqw/mikusays/releases/download/v0.1.0/mikusays-windows-x86_64.exe,https://github.com/xxanqw/mikusays/releases/download/v0.1.0/mikusays-windows-aarch64.exe","aarch64-exe,x86-exe",merged,v0.1.1,"https://github.com/xxanqw/mikusays/releases/download/v0.1.1/mikusays-windows-aarch64.exe,https://github.com/xxanqw/mikusays/releases/download/v0.1.1/mikusays-windows-x86_64.exe",1,True,0,False,0.1.0,2,,"https://github.com/xxanqw/mikusays/releases/download/v0.1.1/mikusays-windows-aarch64.exe,https://github.com/xxanqw/mikusays/releases/download/v0.1.1/mikusays-windows-x86_64.exe",2,
xssnick.tonutils-storage,xssnick/tonutils-storage,"1.1.0,1.1.1",1NumDot1NumDot1Num,1.1.1,1,https://github.com/xssnick/tonutils-storage/releases/download/v1.1.1/tonutils-storage-x64.exe,x64-exe,merged,v1.1.3,https://github.com/xssnick/tonutils-storage/releases/download/v1.1.3/tonutils-storage-x64.exe,2,True,0,False,"1.1.0,1.1.1",2,,https://github.com/xssnick/tonutils-storage/releases/download/v1.1.3/tonutils-storage-x64.exe,2,
X-Hax.SAModManager,X-Hax/SA-Mod-Manager,1.3.3,1NumDot1NumDot1Num,1.3.3,2,"https://github.com/X-Hax/SA-Mod-Manager/releases/download/1.3.3/release_x86.zip,https://github.com/X-Hax/SA-Mod-Manager/releases/download/1.3.3/release_x64.zip","x64-zip,x86-zip",merged,1.3.4,"https://github.com/X-Hax/SA-Mod-Manager/releases/download/1.3.4/release_x64.zip,https://github.com/X-Hax/SA-Mod-Manager/releases/download/1.3.4/release_x86.zip",1,True,0,False,1.3.3,2,,"https://github.com/X-Hax/SA-Mod-Manager/releases/download/1.3.4/release_x64.zip,https://github.com/X-Hax/SA-Mod-Manager/releases/download/1.3.4/release_x86.zip",2,
XIU2.CloudflareSpeedTest,XIU2/CloudflareSpeedTest,"1.2.9,1.3.0,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,1.4.0,1.4.1,1.4.10,1.4.2,1.4.3,1.4.4,1.4.5,1.4.6,1.4.7,1.4.8,1.4.9,1.5.0,1.5.1,2.0.0,2.0.1,2.0.2,2.0.3,2.1.0,2.2.0,2.2.1,2.2.2,2.2.3,2.2.4,2.2.5","1NumDot1NumDot1Num,1NumDot1NumDot2Num",2.2.5,3,"https://github.com/XIU2/CloudflareSpeedTest/releases/download/v2.2.5/CloudflareST_windows_386.zip,https://github.com/XIU2/CloudflareSpeedTest/releases/download/v2.2.5/CloudflareST_windows_amd64.zip,https://github.com/XIU2/CloudflareSpeedTest/releases/download/v2.2.5/CloudflareST_windows_arm64.zip","NA-zip,arm64-zip",merged,v2.3.2,"https://github.com/XIU2/CloudflareSpeedTest/releases/download/v2.3.2/cfst_darwin_amd64.zip,https://github.com/XIU2/CloudflareSpeedTest/releases/download/v2.3.2/cfst_darwin_arm64.zip,https://github.com/XIU2/CloudflareSpeedTest/releases/download/v2.3.2/cfst_windows_386.zip,https://github.com/XIU2/CloudflareSpeedTest/releases/download/v2.3.2/cfst_windows_amd64.zip,https://github.com/XIU2/CloudflareSpeedTest/releases/download/v2.3.2/cfst_windows_arm64.zip",31,True,0,False,"2.2.2,1.4.9,2.2.3,1.4.4,1.4.8,1.4.7,1.3.2,1.4.2,1.3.4,1.3.1,1.3.5,1.5.0,2.2.5,2.1.0,2.2.0,1.4.1,2.2.1,1.4.5,2.0.0,1.3.3,1.2.9,2.0.3,1.4.10,1.4.0,1.4.6,2.0.2,2.0.1,2.2.4,1.3.0,1.4.3,1.5.1",64,,"https://github.com/XIU2/CloudflareSpeedTest/releases/download/v2.3.2/cfst_darwin_amd64.zip,https://github.com/XIU2/CloudflareSpeedTest/releases/download/v2.3.2/cfst_darwin_arm64.zip,https://github.com/XIU2/CloudflareSpeedTest/releases/download/v2.3.2/cfst_windows_386.zip,https://github.com/XIU2/CloudflareSpeedTest/releases/download/v2.3.2/cfst_windows_amd64.zip,https://github.com/XIU2/CloudflareSpeedTest/releases/download/v2.3.2/cfst_windows_arm64.zip",64,
GristLabs.GristDesktop,gristlabs/grist-desktop,0.2.9,1NumDot1NumDot1Num,0.2.9,1,https://github.com/gristlabs/grist-desktop/releases/download/v0.2.9/grist-electron-windows-0.2.9-x64.exe,x64-exe,merged,v0.3.2,"https://github.com/gristlabs/grist-desktop/releases/download/v0.3.2/grist-desktop-0.3.2-win-ia32.exe,https://github.com/gristlabs/grist-desktop/releases/download/v0.3.2/grist-desktop-0.3.2-win-x64.exe",1,True,0,False,0.2.9,1,,"https://github.com/gristlabs/grist-desktop/releases/download/v0.3.2/grist-desktop-0.3.2-win-ia32.exe,https://github.com/gristlabs/grist-desktop/releases/download/v0.3.2/grist-desktop-0.3.2-win-x64.exe",1,
