column1,column2,column3,column4,column5,column6
Hydraulic,Conveyor
Microsoft,BingWallpaper
NirSoft,AppCrashView
Kamua,TinyVid
BellSoft,LibericaJRE,13,Full
BigBangenterprises,DoubleKiller
iMobieInc,Ashampoo
Datadog,Agent
valinet,ExplorerPatcher
Unigine,ValleyBenchmark
BlueJTeam,BlueJ
G0rocks,Cab
OpenDesignAlliance,ODAFileConverter
LabyMediaGmbH,LabyModLauncher
MCvanderKooij,PictoSelector
Splunk,ACS
SnoopWpf,Snoop
flyingpie,windows-terminal-quake,prerelease
AxisCommunicationsAB,AXISCameraStation
iFlytek,iFlyIME
Qingfeng,HeyboxWow
GiulioSorrentino,numeronesoeminformations
Illustrate,dBpowerampAACiTunesEncoder
trigger-segfault,WiimoteAudioPlayer
Ghisler,TotalCommander
JTL,Wawi
Wagnardsoft,DisplayDriverUninstaller
sharkdp,hexyl
codehex,Neo-cowsay
Ability,AbilityOffice,8,Professional
qotop,SpaceEngine
LorenCookCompany,Compute-A-Fan
CologneCodeCompany,XYplorer
StudioXID,ProtoPie
Microsoft,VCRedist,2015+,x64
Zheguisoft,zg_mdm
Andersama,obs-asio
CubeSoft,CubePDF
Japplis,Watch
SwingTeam,Pendulums
SonicTeamJr,SonicRoboBlast2
ORASProject,ORAS
brimdata,brim
VideoLAN,VLC
the-sz,Rimhill
CHIRPSoftware,CHIRP-legacy
Glarysoft,FileRecoveryFree
KN4CRD,JS8Call
gurayyarar,SnipCommand
KDE,Amarok
CLechasseur,PathCopyCopy
Xanthus58,Stanlys_Terminal
KiCad,KiCad,Lite
WindSolutions,CopyTransControlCenter
CrystalLang,Crystal
Ablaze,Floorp
UderzoSoftware,SpaceSniffer
audiorouterdev,audio-router
IG,IGClient
msaltnet,TViewer
EVEMonDevelopmentTeam,EVEMon
Alibaba,LightProxy
awehook,BlinkMind
AntiMicroX,antimicrox
CKingX,haveibeenpwned
Sohu,SHPlayer
Orwell,Dev-C++
OliverBetz,ExifTool
Ookla,Speedtest,Desktop
spacelift-io,spacectl
SoupBuild,Soup
OliverBetz,ExifTool,Development
Coloryr,ColorMC
OpenGMK,GM8Decompiler,GNU
Speed-Soft,Time-Sync,Client
SABnzbdTeam,SABnzbd
NIOSH,ARMPS
kapitainsky,RcloneBrowser
Kingsoft,KMeeting
WiseCleaner,WiseADCleaner
charmbracelet,melt
Vendicated,Vencord
Microsoft,WindowsPCHealthCheck
LacunaSoftware,WebPKI
Huawei,IdeaShare
realsast,FlyingCube
pulsardev,netsix
Japplis,AppletRunnerPro
Mojang,MinecraftLauncher
TeraTermProject,teraterm5
SSBC,Patchwork
RoyalApps,RoyalTS
UniversityOfAmsterdam,praat
GamaPlatform,GamaAlpha
TreasureData,TDAgent
vedantmgoyal,sheltasks-cli
JakobDev,jdAppStreamEdit
Illustrate,dBpowerampCLIEncoder
Kingdee,CloudHub
DigitalScholar,Zotero
echocat,watch
Microsoft,Sysinternals,Strings
WiseCleaner,WiseFolderHider
SURF,eduVPNClient
BinaryMark,BatchImageSplitter
DelineaInc,ThycoticLocalSecurityAgent
SoftMaker,Office,2021
Japplis,AntCommander,Personal
eeo,classin
Anaconda,Miniconda3
Syncplify,Server
NewCloud,WakeOnLan
den4b,Resizer
AMSSoftware,BusinessCardMaker
Yandex,Disk
AntstreamLtd,Antstream
pnpm,pnpm,preview
chaiNNer-org,chaiNNer
TableClothProject,TableCloth
Redisant,MQTTAssistant
SonicWALL,NetExtender
RicochetIM,Ricochet
AdGuard,AdGuard,Nightly
Shure,UpdateUtility
ozankaraali,PiTV
HydrologicEngineeringCenter,HEC-MetVue
LiteratureandLatte,Scrivener
NetEase,CloudMusic,Beta
ESET,EndpointSecurity
TUitTUWien,TUtoolbox
Timber1900,WebDL
LSoftTechnologies,ActiveBootDisk
Microsoft,VCLibs,Desktop,14
KristenMcWilliam,Nyrna
REALiX,HWiNFO
boostio,boostnote
Yubico,YubikeyManager
Streamlink,Streamlink,TwitchGui
Giorgiotani,Peazip
HiroshibaKazuyuki,VOICEVOX,CPU
NBIS,MrBayes
Hashicorp,Consul
jayakumarreddy,Local-Mock-Server
slowscript,Warpinator
AMSSoftware,Clipify
Huawei,HuaweiMobileCloud
LEGO,MindstormsEduEV3Classroom
Logitech,LogiTune
Google,Chrome,Dev
WildfireGames,0AD
Tenpi,PhotoViewer
Microsoft,Edge,Beta
KST,UML,FRI
Kiwix,KiwixJS
the-sz,Redwood
BellSoft,LibericaJRE,17
Naturalsoft,NaturalReader16
Wondershare,Recoverit
Corona,Solar2D
BerndBestel,grocy-desktop
Vromans,ChordPro
Levminer,Authme
PaulSori,mStreamServer
CNRISTI,QuteMol
InfamousJoeG,cybr-cli
AnyLogic,AnyLogic,University
TrackerSoftware,PDF-Tools
stuncloud,uwscr
dangeredwolf,ModernDeck
Synology,ChatClient
MariaDB,Server
goreleaser,goreleaser-pro
Sauerbraten,Cube2-Sauerbraten
fairdataihub,SODA-for-SPARC
maximmax42,CustomRP
EdrawSoft,ViewerComponent,Excel
YSTYLE,kaf-wifi
MoheshwarAmarnathBiswas,UsefulToolsForWindows
Tencent,TencentMeeting
ThielickeITSolutions,TIPP10
DJI,DJIAssistant2,EnterpriseSeries
Seewo,EasiAction
xyproto,algernon
SystweakSoftware,AdvancedSystemOptimizer
rsteube,Carapace
Exercism,CLI
LSoftTechnologies,ActivePartitionManager
Soneliem,WAIUA
c3er,mdview
Microsoft,VCRedist,2005,x86
Autodesk,EAGLE
D4koon,WhatsappTray
"IDMComputerSolutions,Inc",UEStudio
BinaryMark,RandomNumberGenerator
2BrightSparks,SyncBackSE
MIT,CertAid
BiSS,WSLDiskShrinker
RiotGames,LeagueOfLegends,EUW
EclipseAdoptium,Temurin,11,JDK
Makeblock,LaserBox,Basic
CMIE,ProwessIQ
Hydrogen-Music,Hydrogen
Hans5958,Domino
Baidu,BaiduSIAssistant
Python,Python,3,4
NDXCode,EclipseFlashTool
VividDesigns,WifiMouseServer
Microsoft,webpicmd
klinker24,google-calendar-desktop
KalinSetterbergDataAB,Marathon
LacyMorrow,CrossOver
LupoPenSuite,DropIt
TexasInstruments,TI-Nspire,ComputerLink
Youdao,YoudaoTranslate
EnderbytePrograms,StudentPick
Microsoft,AzureCLI
Jsoftware,J,9,4,slim
XIU2,CloudflareSpeedTest
qier222,yesplaymusic
Hesan,He3
ForgQi,biliup-app
maygo,tockler
RoyalApps,RoyalTS,V7
Docker,DockerCLI
MoonchildProductions,PaleMoon
ChungZH,notepanda
TigerVNCproject,TigerVNC
vim,vim,nightly
the-sz,Conroe
Codemao,Lessons
Wondershare,WXRecovery
QNAP,QuDedupExtractTool
JRSoftware,InnoSetup
ONLYOFFICE,DesktopEditors
CatalystDevelopment,SocketTools10,ActiveXRedist,x86
Rambax,SimpleTransfer
Microsoft,VCRedist,2012,x64
bl00mber,alarm-cron
MTSD,AllDup
RubyInstallerTeam,Ruby,2,7
peanut996,CloudflareWarpSpeedTest
mar10,wsgidav
XK72,Charles
TheStellaTeam,Stella
huanghongxun,HelloMinecraftLauncher
BellSoft,LibericaJRE,16,Full
UnicornSoft,UnicornHTTPS
YoYoGames,GameMaker,Studio,1
Lambda,openexr-viewer
LazapDevelopment,Lazap
Jagex,Runescape
ExodusMovement,Exodus
Dothq,DotBrowser
SurgeSynth,Surge
GianlucaPernigotto,Videomass
Japplis,Toolbox
mtkennerly,ludusavi
funnyzak,TTSNow
EmbravaPtyLtd,EmbravaConnect
VentisMedia,MediaMonkey,4
TrackerSoftware,PDF-XChangePRO
WisdomSoftware,MotionStudio
EdrawSoft,ViewerComponent,PDF
evansmurithi,cloak
Google,JapaneseIME
Google,VPNByGoogleOne
ChenQingYu,BF
PixelsLTD,PeerBrain
AdoptOpenJDK,OpenJDK,16
XINGInc,KinzakiKoharu
TotallyUsefulSoftware,QuickSFV
fnordsoftware,WebMforPremiere
Seewo,EasiDirector
vSpatialInc,vSpatialRemoteDesktop
Wondershare,PDFelement,10
tangshimin,MuJing
alexkim205,g-desktop-suite
MrMYHuang,cbetar2
Opera,OperaGX
Amazon,CopilotCLI
Firetrust,MailWasher,Pro
NotaryProject,Notation
BinaryMark,BatchHexEditor
AprelTech,SilentInstallBuilder,Beta
ente-io,ente
nektos,act
madisvain,upcount
DMM,GamePlayer
Xmind,Xmind,8
the-sz,Banks
goatcorp,XIVLauncher
Tencent,QQWubi
MotionTeam,MotionDesktopApp
amacneil,dbmate
HandBrake,HandBrake,CLI
Rabbit-Company,Passky
AdGuard,AdGuardVPN
Hexandcube,DesktopIconToggle
OO-Software,ShutUp10
JPEXS,FFDec
Dlang,DMD
JFrog,Conan
EuSoft,Eshelper
Barry-ran,QtScrcpy
Cemu,Cemu,Experimental
abrignoni,ALEAPP
JetBrains,PHPStorm,EAP
KDE,KDEConnect
VSCodium,VSCodium,Insiders
AgileBits,1Password,CLI
DNSCrypt,dnscrypt-proxy
Spatie,Ray
Azul,Zulu,18,JRE
Tencent,Foxmail
Microsoft,OneDrive,Internal,Fast
SebastianFelling,ToughCookies
CondaForge,Mambaforge
Scala,Scala,2
Magicsplat,TclTk
FireDaemon,OpenSSL
Ninja-build,Ninja
Datto,Workplace
netbsd,rawrite32
UweSieber,ComPortInfo
Makeblock,xToolCreativeSpace
igoogolx,itun2socks
Microsoft,AzureDataStudio,Insiders
Elcomsoft,AdvancedEFSPasswordRecovery
Cisco,webex-outlook-plugin
KonicaMinolta,SoporteKM
KurtisLiggett,SimpleIPConfig
Microsoft,AppInstallerFileBuilder
ACROSSecurity,0patch
MullvadVPN,MullvadBrowser
dynobo,NormCap
TechSmith,Snagit,2020
BookStairs,bookhunter
RoniLehto,LMath
Atrix,AtrixLauncher
WillowSoftware,AnvilStudio
AtomixProductions,VirtualDJ
jftuga,less
Google,GoogleDesktop
luyuhuang,DWords2
szTheory,exifcleaner
NewTek,NDI5Runtime
quotient-im,Quaternion
Microsoft,OpenSSH,Beta
jaegertracing,jaeger
goreleaser,nfpm
Alex313031,Thorium
BellSoft,LibericaJRE,11
GreenfootTeam,Greenfoot
OpenMedia,4KSlideshowMaker
matchmycolor,Colibri,3
Tencent,COSCLI
CrystalDewWorld,CrystalDiskMark,ShizukuEdition
JesseDuffield,Lazydocker
JetBrains,IntelliJIDEA,Edu
HetznerCloud,CLI
RAGEMultiplayerTeam,RAGEMultiplayer
NHNCorporation,Dooray!Drive
PeterBienstman,Mnemosyne
nostar,DroidStar
StefanBerg,NINA
Henry++,freeshooter
XSplit,Broadcaster
LGElectronics,SmartShare
Wondershare,MirrorGo
Concept2,Utility
markmckinnon,cLeapp
eibol,FFmpegBatchAVConverter
RoonLabs,Roon
AnyTXT,AnyTXTSearcher
Admobilize,AdMobilize,VisionService
hickford,git-credential-oauth
HydrologicEngineeringCenter,HEC-DSSVue
Lenovo,MigrationAssistant
Lenovo,LeCloud
SillyKoalaHugs,UndeadKoalasAttack
Heliai,BlackThunder
Hitencent,JisuPDF
Unifaun,UnifaunOnlinePrinter
JvanKatwijk,Qt-DAB
Google,NearbyShare
argoproj,argocd
ChrisBagwell,SoX
Microsoft,VisualStudio,2019,Professional
Fougue,Mayo
ThaUnknown,Miru
the-sz,Sherwood
AMSSoftware,PhoenixFileRescue
Psenix,OverlayTimer
ButterflyEffect,Monica
CPUID,CPU-Z,GBT
hello-efficiency-inc,raven-reader
CCPGames,EVEOnline
RemixTeam,RemixIDE
Nova_Max,XBatteryStatus
Levitsky,FontBase
Boxstar,DeepVocal
YutakaSawada,MultiPar,Beta
EmirTunahanAlim,DeezerElectron
Martchus,syncthingctl
Microsoft,OfficeDeploymentTool
Gruntwork,Terragrunt
CameronSutter,Plottr
Magefile,mage
RiotGames,Valorant,LATAM
dreamus,flo
Corel,WinZip
Microsoft,Teams
Hex-Rays,IDA,Free
NirSoft,FullEventLogView
OSGeo,QGIS
RubyInstallerTeam,RubyWithDevKit,2,6
HERE,OLPCLI,NATIVE
FilenCloud,FilenSync
Logitech,MyHarmony
Velocidex,Velociraptor
OBSProject,obs-amd-encoder
GauzyTech,NeatConverter
Microsoft,VCRedist,2019,arm64
PopcornTime,Popcorn-Time
xkonglong,gongwen
Iterate,MountainDuck
Mozilla,Firefox,DeveloperEdition
YO3DMU,PstRotator
codersnotes,VerySleepy
Orange-OpenSource,Hurl
Jidifudi,GT4T
Jitsi,Meet
NI,ni-visa
Jagex,OldSchoolRunescape
irzyxa,Volume2Portable
ByteDance,DouyinIDE
Zoom,ZoomOutlookPlugin
Bullzip,BullzipPDFStudio
Elcomsoft,PasswordDigger
iFlytek,iFlyNote
yang991178,fluent-reader
Insta360,Link,Controller
Speed-Soft,Pingt
Logitech,Solar
Telerik,Fiddler,Classic
tazzben,Assessment-Disaggregation
Databricks,DatabricksCLI
sigoden,Dufs
AntibodySoftware,WizFile
nukeop,nuclear
4tNiagaraSoftware,4tTrayMinimizer
Seewo,EasiQuizManager
2dust,v2rayN
DVSTSEOOD,QOps
DarkfullDante,wol
Illustrate,dBpowerampWave64Encoder
Aserto,Topaz
OleksisFraga,PythonLauncher
the-sz,York
PrimateLabs,Geekbench,2
IcecreamApps,IcecreamEbookReader
Microsoft,WindowsAppRuntime,1,2
Tricentis,NeoLoad
Yuanli,uTools
PTRTECH,UVtools
Line6,Line6Central
Bopsoft,Listary
BellSoft,LibericaJRE,20,Full
ArtificialQualia,PyEveLiveDPS
wherewhere,APKInstaller,Classic
Amazon,SessionManagerPlugin
LanguageTool,LanguageToolforDesktop
Python,Python,3,2
SweetScape,010Editor
AVS,InstallPackComplete
Bitvise,SSH,Client
Micronaut,Launch
Microsoft,DevHome
Chadsoft,CTools
AGFEO,AGFEODashboard
UCBerkeley,BOINC
eloston,ungoogled-chromium
MilosParipovic,OneCommander
Baidu,BaiduPinyin
FlockFZ,Flock
zafaco,Breitbandmessung
AgileBits,1Password
WowUp,Beta
BelgianGovernment,Belgium-eIDmiddleware
gnome,gitg
dumbasPL,CSGOAccountChecker
Microsoft,WindowsWDK,10,0,22000
File-New-Project,EarTrumpet
tastyworks,tastytrade
Muhammed87643,Funkin
GitTools,GitVersion
DimisAIO,DindeGDPS
YichengTimes,Worktile
XINGInc,ShirosakiYuudai
Microsoft,Azure,Aztfy
MonkiLabs,Notejoy
Audacious,MediaPlayer
GyDi,ClashVerge
TomEnglert,RegionToShare
pCloudAG,pCloudDrive
CPUID,CPU-Z,AORUS
ACLAP,DownloadHelperCoApp
SagMeinenNamen,TypingTest
Elcomsoft,WirelessSecurityAuditor
arrow2nd,serizawa
Yandex,PuntoSwitcher
OpenSight,FlashFXP
ByteDance,XiguaVideo
yelosan,PH-UKL,TglgQRTY
ez,launcher
Microsoft,Azure,DataCLI
PulseBroswer,PulseBrowser
BellSoft,LibericaJRE,16
Allen&Heath,SQMixPad
JoeIpson,Jellyamp
LSoftTechnologies,ActiveISOBurner
SolidClouds,Starborne
ColdTurkeySoftware,ColdTurkeyBlocker
Google,Chrome
ManifoldSoftware,Manifold,8
VSDC,Editor
NirSoft,AdvancedRun
mulaRahul,Keyviz
Kitware,ParaView
Melvin-Abraham,Google-Assistant
DavidNorgren,Mine-imator
PLACE,ONE,CS7
OpenTofu,Tofu,Beta
jie17,v2ray-electron
Yandex,Messenger
KYDronePilot,SpaceEye
